[1,089s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007f376f1b2310) [0x00007f376f1b2480, 0x00007f376f1b2570] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,090s][debug  ][gc,nmethod  ] Register NMethod: java.lang.Object.hashCode (0x00007f376f1b2610) [0x00007f376f1b27a0, 0x00007f376f1b2980] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,090s][debug  ][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.signedHashCode (0x00007f376f1b2990) [0x00007f376f1b2b00, 0x00007f376f1b2cb0] Compiler: c2, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,090s][debug  ][gc,director ] Rule Major: Warmup 10%, Used: 8MB, UsedThreshold: 1536MB
[1,090s][debug  ][gc,nmethod  ] Register NMethod: java.lang.String.charAt (0x00007f376f1b2d90) [0x00007f376f1b2f20, 0x00007f376f1b3060] Compiler: c2, Barriers: 1, Oops: 1, ImmediateOops: 0, NonImmediateOops: No
[1,090s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.invokeBasic (0x00007f376f1b3190) [0x00007f376f1b3320, 0x00007f376f1b35b8] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,090s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x00007f376f1b3610) [0x00007f376f1b3780, 0x00007f376f1b3878] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,090s][debug  ][gc,nmethod  ] Register NMethod: java.lang.Object.<init> (0x00007f376f1b3910) [0x00007f376f1b3a80, 0x00007f376f1b3af8] Compiler: c2, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,092s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.invokeBasic (0x00007f376f1b3c10) [0x00007f376f1b3da0, 0x00007f376f1b4038] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,092s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x00007f376f1b4090) [0x00007f376f1b4200, 0x00007f376f1b42f8] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
